length (m),F_geo,V_trn,I_trn,V_out,I_out,E_pon,E_poff,E_crit,_IR_cips,IR_cips,A_scan,R_gb,R_t2m,R_t3m,D_dcvg,D_olre,F_type,F_id,D_clas,D_len,D_erf,D_dept,SRF_loc,N_ocd,S_srb,T_opr,C_pipe,Y_pipe,S_CR,Decision
"125,451",No Feature,100,100,16.50,8.50,1257,1159,,122,98,3.54,100,23150.584,8866.108,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,452",No Feature,100,100,16.50,8.50,1272,1183,,132,89,3.54,100,23190.776,8877.412,AA,-10,,,,,0,0,,0,No,10,C_CW,30,0.13,2
"125,453",No Feature,100,100,16.50,8.50,1269,1186,,140,83,3.54,100,23230.968,8888.716,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,454",D,100,100,16.50,8.50,1293,1184,,106,109,3.54,100,23271.16,8900.02,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,455",No Feature,100,100,16.50,8.50,1293,1182,,103,111,5.99,100,23311.352,8911.324,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,456",No Feature,100,100,16.50,8.50,1292,1184,,107,108,5.99,100,23351.544,8922.628,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,457",No Feature,100,100,16.50,8.50,1267,1166,,113,101,5.99,100,23391.736,8933.932,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,458",No Feature,100,100,16.50,8.50,1305,1189,,99,116,5.99,100,23431.928,8945.236,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,459",No Feature,100,100,16.50,8.50,1286,1170,,101,116,5.99,100,23472.12,8956.54,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,460",No Feature,100,100,16.50,8.50,1292,1177,,101,115,5.59,100,23512.312,8967.844,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,461",No Feature,100,100,16.50,8.50,1257,1158,,116,99,5.59,100,23552.504,8979.148,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,462",No Feature,100,100,16.50,8.50,1282,1157,,92,125,5.59,100,23592.696,8990.452,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,463",No Feature,100,100,16.50,8.50,1277,1145,,87,132,5.59,100,23632.888,9001.756,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
